"filename", "language", "C", "JSON", "Python", "C++", "comment", "blank", "total"
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/orig_testsuite_asan_noleak.json", "JSON", 0, 92, 0, 0, 0, 1, 93
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_add_item_at_pos.c", "C", 46, 0, 0, 0, 19, 10, 75
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_cost_sum.c", "C", 25, 0, 0, 0, 9, 5, 39
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_deduplicate.c", "C", 18, 0, 0, 0, 10, 5, 33
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_find_highest_price_item_position.c", "C", 29, 0, 0, 0, 10, 5, 44
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_init.c", "C", 19, 0, 0, 0, 6, 6, 31
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_item_to_string.c", "C", 20, 0, 0, 0, 11, 5, 36
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_load.c", "C", 18, 0, 0, 0, 12, 5, 35
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_print.c", "C", 27, 0, 0, 0, 22, 5, 54
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_remove_item_at_pos.c", "C", 18, 0, 0, 0, 8, 5, 31
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_save.c", "C", 18, 0, 0, 0, 11, 5, 34
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_swap_item_positions.c", "C", 17, 0, 0, 0, 8, 5, 30
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts/gen_list_update_item_at_pos.c", "C", 37, 0, 0, 0, 14, 8, 59
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/ref_testsuite.json", "JSON", 0, 323, 0, 0, 0, 1, 324
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/ref_testsuite_asan.json", "JSON", 0, 323, 0, 0, 0, 1, 324
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/ref_testsuite_asan_noleak.json", "JSON", 0, 323, 0, 0, 0, 1, 324
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/api_report.json", "JSON", 0, 14, 0, 0, 0, 1, 15
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/list.c", "C", 99, 0, 0, 0, 74, 26, 199
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/orig_testsuite.json", "JSON", 0, 92, 0, 0, 0, 1, 93
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/orig_testsuite_asan.json", "JSON", 0, 92, 0, 0, 0, 1, 93
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/orig_testsuite_asan_noleak.json", "JSON", 0, 92, 0, 0, 0, 1, 93
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_add_item_at_pos.c", "C", 44, 0, 0, 0, 22, 12, 78
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_cost_sum.c", "C", 18, 0, 0, 0, 8, 5, 31
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_deduplicate.c", "C", 18, 0, 0, 0, 10, 5, 33
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_find_highest_price_item_position.c", "C", 18, 0, 0, 0, 8, 5, 31
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_init.c", "C", 19, 0, 0, 0, 6, 6, 31
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_item_to_string.c", "C", 22, 0, 0, 0, 14, 5, 41
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_load.c", "C", 18, 0, 0, 0, 12, 5, 35
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_print.c", "C", 26, 0, 0, 0, 21, 7, 54
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_remove_item_at_pos.c", "C", 18, 0, 0, 0, 8, 5, 31
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_save.c", "C", 18, 0, 0, 0, 11, 5, 34
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_swap_item_positions.c", "C", 17, 0, 0, 0, 8, 5, 30
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts/gen_list_update_item_at_pos.c", "C", 17, 0, 0, 0, 8, 5, 30
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/ref_testsuite.json", "JSON", 0, 323, 0, 0, 0, 1, 324
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/ref_testsuite_asan.json", "JSON", 0, 323, 0, 0, 0, 1, 324
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/ref_testsuite_asan_noleak.json", "JSON", 0, 323, 0, 0, 0, 1, 324
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/api_report.json", "JSON", 0, 14, 0, 0, 0, 1, 15
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/list.c", "C", 183, 0, 0, 0, 73, 22, 278
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/orig_testsuite.json", "JSON", 0, 92, 0, 0, 0, 1, 93
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/orig_testsuite_asan.json", "JSON", 0, 92, 0, 0, 0, 1, 93
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/orig_testsuite_asan_noleak.json", "JSON", 0, 92, 0, 0, 0, 1, 93
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_add_item_at_pos.c", "C", 56, 0, 0, 0, 28, 20, 104
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_cost_sum.c", "C", 18, 0, 0, 0, 8, 5, 31
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_deduplicate.c", "C", 18, 0, 0, 0, 10, 5, 33
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_find_highest_price_item_position.c", "C", 32, 0, 0, 0, 7, 5, 44
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_init.c", "C", 19, 0, 0, 0, 6, 5, 30
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_item_to_string.c", "C", 20, 0, 0, 0, 14, 6, 40
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_load.c", "C", 18, 0, 0, 0, 12, 5, 35
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_print.c", "C", 17, 0, 0, 0, 20, 5, 42
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_remove_item_at_pos.c", "C", 40, 0, 0, 0, 10, 7, 57
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_save.c", "C", 30, 0, 0, 0, 12, 5, 47
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_swap_item_positions.c", "C", 55, 0, 0, 0, 10, 6, 71
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts/gen_list_update_item_at_pos.c", "C", 33, 0, 0, 0, 9, 5, 47
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/ref_testsuite.json", "JSON", 0, 323, 0, 0, 0, 1, 324
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/ref_testsuite_asan.json", "JSON", 0, 323, 0, 0, 0, 1, 324
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/ref_testsuite_asan_noleak.json", "JSON", 0, 323, 0, 0, 0, 1, 324
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/CodexUserStudyData/Assisted/21cb2508-2c4a-468d-a771-002ba7e0f211/api_report.json", "JSON", 0, 14, 0, 0, 0, 1, 15
