Date : 2023-08-29 20:20:02
Directory : /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset
Total : 542 files,  9899 codes, 782 comments, 802 blanks, all 11483 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |        508 |      9,529 |        706 |        762 |     10,997 |
| C++      |         34 |        370 |         76 |         40 |        486 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/itemToString_Machine15.c       | C        |         18 |          3 |          8 |         29 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/listInitialization_Machine15.c | C        |          4 |          0 |          0 |          4 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/printList_Machine15.c          | C        |         12 |          0 |          1 |         13 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/removeItem_Machine15.c         | C        |         21 |          3 |          6 |         30 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/save_Machine15.c               | C        |         15 |          3 |          5 |         23 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/swapItem_Machine15.c           | C        |         26 |          3 |          8 |         37 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/updateItem_Machine15.c         | C        |         15 |          2 |          5 |         22 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/addItem_Machine16.c            | C        |         31 |          5 |          5 |         41 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/itemToString_Machine16.c       | C        |         18 |          3 |          3 |         24 |
| /Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/listInitialization_Machine16.c | C        |          4 |          0 |          0 |          4 |
