"filename", "language", "C", "C++", "comment", "blank", "total"
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine12/removeItem_Machine12.c", "C", 25, 0, 0, 0, 25
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine12/save_Machine12.c", "C", 17, 0, 0, 0, 17
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine12/swapItem_Machine12.c", "C", 36, 0, 0, 0, 36
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine12/updateItem_Machine12.c", "C", 19, 0, 0, 0, 19
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/addItem_Machine13.c", "C", 29, 0, 0, 0, 29
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/costSum_Machine13.c", "C", 8, 0, 0, 0, 8
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/deduplicate_Machine13.c", "C", 21, 0, 0, 0, 21
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/highestPrice_Machine13.c", "C", 15, 0, 0, 0, 15
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/itemToString_Machine13.c", "C", 7, 0, 0, 0, 7
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/listInitialization_Machine13.c", "C", 4, 0, 0, 0, 4
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/load_Machine13.c", "C", 16, 0, 0, 0, 16
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/printList_Machine13.c", "C", 11, 0, 0, 0, 11
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/removeItem_Machine13.c", "C", 20, 0, 0, 0, 20
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/save_Machine13.c", "C", 13, 0, 0, 0, 13
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/swapItem_Machine13.c", "C", 54, 0, 0, 0, 54
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine13/updateItem_Machine13.c", "C", 18, 0, 0, 0, 18
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/addItem_Machine14.c", "C", 33, 0, 0, 0, 33
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/costSum_Machine14.c", "C", 13, 0, 0, 0, 13
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/deduplicate_Machine14.c", "C", 19, 0, 0, 0, 19
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/highestPrice_Machine14.c", "C", 19, 0, 0, 0, 19
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/itemToString_Machine14.c", "C", 7, 0, 0, 0, 7
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/listInitialization_Machine14.c", "C", 9, 0, 0, 0, 9
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/load_Machine14.c", "C", 23, 0, 0, 0, 23
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/printList_Machine14.c", "C", 14, 0, 0, 0, 14
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/removeItem_Machine14.c", "C", 22, 0, 0, 0, 22
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/save_Machine14.c", "C", 13, 0, 0, 0, 13
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/swapItem_Machine14.c", "C", 33, 0, 0, 0, 33
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine14/updateItem_Machine14.c", "C", 21, 0, 0, 0, 21
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/addItem_Machine15.c", "C", 34, 0, 3, 6, 43
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/costSum_Machine15.c", "C", 13, 0, 2, 4, 19
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/deduplicate_Machine15.c", "C", 3, 0, 2, 0, 5
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/highestPrice_Machine15.c", "C", 16, 0, 2, 4, 22
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/itemToString_Machine15.c", "C", 18, 0, 3, 8, 29
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/listInitialization_Machine15.c", "C", 4, 0, 0, 0, 4
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/printList_Machine15.c", "C", 12, 0, 0, 1, 13
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/removeItem_Machine15.c", "C", 21, 0, 3, 6, 30
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/save_Machine15.c", "C", 15, 0, 3, 5, 23
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/swapItem_Machine15.c", "C", 26, 0, 3, 8, 37
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine15/updateItem_Machine15.c", "C", 15, 0, 2, 5, 22
"/Users/sbukhari/Sandbox/CProgram/ASTanalysis/Dataset/Autopilot/Machine16/addItem_Machine16.c", "C", 31, 0, 5, 5, 41
